Age ,Race Sex,2015,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900
15,African American Female,"98,691",98354,97818,97450,96172,95057,94343,90594,88088,83954,68218,62384
20,African American Female,"98,532",98141,97566,97180,95729,94660,93544,88736,85078,80154,64764,59053
25,African American Female,"98,247",97785,97140,96754,95035,94005,92336,86198,81067,75359,61430,55795
30,African American Female,"97,871",97314,96514,96150,94114,93070,90799,83384,76816,70633,58281,52773
35,African American Female,"97,329",96632,95599,95338,92807,91670,88805,80092,72192,65857,54595,49567
40,African American Female,"96,579",95588,94364,94137,90817,89676,86052,76084,67271,61130,50568,46146
45,African American Female,"95,473",93979,92676,92322,88001,86793,82257,71157,61365,56230,45947,42279
50,African American Female,"93,833",91680,90277,89563,84168,82979,77007,64885,54920,50780,40886,37681
55,African American Female,"91,320",88517,86793,85653,79177,77362,70196,57314,47074,44742,35415,33124
60,African American Female,"87,630",84044,81886,80293,72820,69941,61758,48928,38761,37954,28908,27524
65,African American Female,"82,709",77941,75031,73266,64716,60825,52358,40504,30852,31044,22302,21995
70,African American Female,"76,456",69778,66278,64729,54873,51274,42612,32354,23341,24107,15871,16140
75,African American Female,"67,857",59361,55684,53831,43193,40540,32981,24502,16576,17216,10657,11066
80,African American Female,"56,513",46453,43622,41686,31756,30315,23712,17039,10822,11151,6324,6708
85,African American Female,"42,015",32053,30089,28004,21358,19744,15550,10622,6033,5972,3029,3567
90,African American Female,"25,628",18347,17536,16260,12210,9675,8590,5652,2774,2579,1206,1492
95,African American Female,"11,474",7989,7687,7312,5217,2438,2875,2345,941,818,448,462
100,African American Female,"3,273",2351,2364,2398,1803,293,445,659,193,179,112,97
