Age ,Race Sex,Year,Survival
0,All,2015,100000
1,All,2015,99411
5,All,2015,99312
10,All,2015,99254
15,All,2015,99181
20,All,2015,98943
25,All,2015,98503
30,All,2015,97980
35,All,2015,97357
40,All,2015,96609
45,All,2015,95619
50,All,2015,94158
55,All,2015,91867
60,All,2015,88559
65,All,2015,84055
70,All,2015,78066
75,All,2015,69559
80,All,2015,57811
85,All,2015,42192
90,All,2015,24285
95,All,2015,9292
100,All,2015,1935
0,All Male,2015,100000
1,All Male,2015,99361
5,All Male,2015,99250
10,All Male,2015,99185
15,All Male,2015,99101
20,All Male,2015,98774
25,All Male,2015,98135
30,All Male,2015,97399
35,All Male,2015,96569
40,All Male,2015,95615
45,All Male,2015,94409
50,All Male,2015,92657
55,All Male,2015,89881
60,All Male,2015,85842
65,All Male,2015,80330
70,All Male,2015,73317
75,All Male,2015,63777
80,All Male,2015,51163
85,All Male,2015,35290
90,All Male,2015,18475
95,All Male,2015,6037
100,All Male,2015,999
0,All Female,2015,100000
1,All Female,2015,99462
5,All Female,2015,99376
10,All Female,2015,99326
15,All Female,2015,99265
20,All Female,2015,99121
25,All Female,2015,98891
30,All Female,2015,98591
35,All Female,2015,98179
40,All Female,2015,97640
45,All Female,2015,96867
50,All Female,2015,95700
55,All Female,2015,93895
60,All Female,2015,91312
65,All Female,2015,87800
70,All Female,2015,82827
75,All Female,2015,75340
80,All Female,2015,64422
85,All Female,2015,48948
90,All Female,2015,29772
95,All Female,2015,12204
100,All Female,2015,2724
0,White All,2015,100000
1,White All,2015,99508
5,White All,2015,99419
10,White All,2015,99365
15,White All,2015,99296
20,White All,2015,99072
25,White All,2015,98652
30,White All,2015,98137
35,White All,2015,97518
40,White All,2015,96782
45,White All,2015,95808
50,White All,2015,94374
55,White All,2015,92125
60,White All,2015,88900
65,White All,2015,84518
70,White All,2015,78581
75,White All,2015,70065
80,White All,2015,58217
85,White All,2015,42381
90,White All,2015,24255
95,White All,2015,9091
100,White All,2015,1809
0,White Male,2015,100000
1,White Male,2015,99467
5,White Male,2015,99368
10,White Male,2015,99307
15,White Male,2015,99228
20,White Male,2015,98928
25,White Male,2015,98328
30,White Male,2015,97612
35,White Male,2015,96794
40,White Male,2015,95862
45,White Male,2015,94674
50,White Male,2015,92952
55,White Male,2015,90218
60,White Male,2015,86274
65,White Male,2015,80922
70,White Male,2015,73995
75,White Male,2015,64463
80,White Male,2015,51743
85,White Male,2015,35608
90,White Male,2015,18550
95,White Male,2015,5895
100,White Male,2015,914
0,White Female,2015,100000
1,White Female,2015,99551
5,White Female,2015,99473
10,White Female,2015,99426
15,White Female,2015,99367
20,White Female,2015,99222
25,White Female,2015,98995
30,White Female,2015,98693
35,White Female,2015,98284
40,White Female,2015,97754
45,White Female,2015,96999
50,White Female,2015,95864
55,White Female,2015,94109
60,White Female,2015,91612
65,White Female,2015,88204
70,White Female,2015,83268
75,White Female,2015,75765
80,White Female,2015,64752
85,White Female,2015,49097
90,White Female,2015,29718
95,White Female,2015,11966
100,White Female,2015,2566
0,African American All,2015,100000
1,African American All,2015,98861
5,African American All,2015,98708
10,African American All,2015,98626
15,African American All,2015,98529
20,African American All,2015,98194
25,African American All,2015,97574
30,African American All,2015,96863
35,African American All,2015,96021
40,African American All,2015,94972
45,African American All,2015,93595
50,African American All,2015,91622
55,African American All,2015,88560
60,African American All,2015,84017
65,African American All,2015,77782
70,African American All,2015,70220
75,African American All,2015,60498
80,African American All,2015,48499
85,African American All,2015,34490
90,African American All,2015,20023
95,African American All,2015,8516
100,African American All,2015,2334
0,African American Male,2015,100000
1,African American Male,2015,98760
5,African American Male,2015,98580
10,African American Male,2015,98488
15,African American Male,2015,98373
20,African American Male,2015,97868
25,African American Male,2015,96926
30,African American Male,2015,95878
35,African American Male,2015,94720
40,African American Male,2015,93348
45,African American Male,2015,91674
50,African American Male,2015,89341
55,African American Male,2015,85685
60,African American Male,2015,80218
65,African American Male,2015,72521
70,African American Male,2015,63506
75,African American Male,2015,52519
80,African American Male,2015,39756
85,African American Male,2015,26155
90,African American Male,2015,13658
95,African American Male,2015,4982
100,African American Male,2015,1110
0,African American Female,2015,100000
1,African American Female,2015,98966
5,African American Female,2015,98840
10,African American Female,2015,98767
15,African American Female,2015,98691
20,African American Female,2015,98532
25,African American Female,2015,98247
30,African American Female,2015,97871
35,African American Female,2015,97329
40,African American Female,2015,96579
45,African American Female,2015,95473
50,African American Female,2015,93833
55,African American Female,2015,91320
60,African American Female,2015,87630
65,African American Female,2015,82709
70,African American Female,2015,76456
75,African American Female,2015,67857
80,African American Female,2015,56513
85,African American Female,2015,42015
90,African American Female,2015,25628
95,African American Female,2015,11474
100,African American Female,2015,3273
0,All,2000,100000
1,All,2000,99305
5,All,2000,99176
10,All,2000,99097
15,All,2000,98998
20,All,2000,98664
25,All,2000,98203
30,All,2000,97751
35,All,2000,97201
40,All,2000,96422
45,All,2000,95274
50,All,2000,93601
55,All,2000,91232
60,All,2000,87642
65,All,2000,82330
70,All,2000,74891
75,All,2000,64644
80,All,2000,50885
85,All,2000,34515
90,All,2000,18496
95,All,2000,6879
100,All,2000,1479
0,All Male,2000,100000
1,All Male,2000,99239
5,All Male,2000,99095
10,All Male,2000,99008
15,All Male,2000,98890
20,All Male,2000,98426
25,All Male,2000,97747
30,All Male,2000,97114
35,All Male,2000,96385
40,All Male,2000,95389
45,All Male,2000,93940
50,All Male,2000,91818
55,All Male,2000,88897
60,All Male,2000,84551
65,All Male,2000,78241
70,All Male,2000,69491
75,All Male,2000,57688
80,All Male,2000,42769
85,All Male,2000,26527
90,All Male,2000,12473
95,All Male,2000,3855
100,All Male,2000,645
0,All Female,2000,100000
1,All Female,2000,99375
5,All Female,2000,99261
10,All Female,2000,99190
15,All Female,2000,99111
20,All Female,2000,98915
25,All Female,2000,98682
30,All Female,2000,98418
35,All Female,2000,98052
40,All Female,2000,97493
45,All Female,2000,96648
50,All Female,2000,95425
55,All Female,2000,93609
60,All Female,2000,90767
65,All Female,2000,86433
70,All Female,2000,80219
75,All Female,2000,71311
80,All Female,2000,58455
85,All Female,2000,41830
90,All Female,2000,23936
95,All Female,2000,9560
100,All Female,2000,2183
0,White All,2000,100000
1,White All,2000,99429
5,White All,2000,99313
10,White All,2000,99239
15,White All,2000,99146
20,White All,2000,98826
25,White All,2000,98406
30,White All,2000,98000
35,White All,2000,97506
40,White All,2000,96799
45,White All,2000,95759
50,White All,2000,94242
55,White All,2000,92050
60,White All,2000,88655
65,White All,2000,83518
70,White All,2000,76219
75,White All,2000,66022
80,White All,2000,52160
85,White All,2000,35461
90,White All,2000,18964
95,White All,2000,6971
100,White All,2000,1454
0,White Male,2000,100000
1,White Male,2000,99373
5,White Male,2000,99243
10,White Male,2000,99163
15,White Male,2000,99052
20,White Male,2000,98616
25,White Male,2000,98003
30,White Male,2000,97436
35,White Male,2000,96774
40,White Male,2000,95859
45,White Male,2000,94530
50,White Male,2000,92588
55,White Male,2000,89883
60,White Male,2000,85773
65,White Male,2000,79657
70,White Male,2000,71039
75,White Male,2000,59245
80,White Male,2000,44121
85,White Male,2000,27425
90,White Male,2000,12840
95,White Male,2000,3899
100,White Male,2000,625
0,White Female,2000,100000
1,White Female,2000,99488
5,White Female,2000,99385
10,White Female,2000,99319
15,White Female,2000,99245
20,White Female,2000,99049
25,White Female,2000,98835
30,White Female,2000,98602
35,White Female,2000,98282
40,White Female,2000,97790
45,White Female,2000,97049
50,White Female,2000,95962
55,White Female,2000,94293
60,White Female,2000,91615
65,White Female,2000,87449
70,White Female,2000,81400
75,White Female,2000,72595
80,White Female,2000,59721
85,White Female,2000,42848
90,White Female,2000,24491
95,White Female,2000,9680
100,White Female,2000,2147
0,African American All,2000,100000
1,African American All,2000,98578
5,African American All,2000,98382
10,African American All,2000,98271
15,African American All,2000,98139
20,African American All,2000,97701
25,African American All,2000,96946
30,African American All,2000,96143
35,African American All,2000,95164
40,African American All,2000,93809
45,African American All,2000,91770
50,African American All,2000,88761
55,African American All,2000,84657
60,African American All,2000,79007
65,African American All,2000,71704
70,African American All,2000,62349
75,African American All,2000,50987
80,African American All,2000,37964
85,African American All,2000,24677
90,African American All,2000,13204
95,African American All,2000,5368
100,African American All,2000,1491
0,African American Male,2000,100000
1,African American Male,2000,98437
5,African American Male,2000,98219
10,African American Male,2000,98093
15,African American Male,2000,97930
20,African American Male,2000,97275
25,African American Male,2000,96103
30,African American Male,2000,94940
35,African American Male,2000,93641
40,African American Male,2000,91945
45,African American Male,2000,89439
50,African American Male,2000,85653
55,African American Male,2000,80529
60,African American Male,2000,73588
65,African American Male,2000,64980
70,African American Male,2000,54253
75,African American Male,2000,41693
80,African American Male,2000,28497
85,African American Male,2000,16532
90,African American Male,2000,7625
95,African American Male,2000,2565
100,African American Male,2000,563
0,African American Female,2000,100000
1,African American Female,2000,98723
5,African American Female,2000,98550
10,African American Female,2000,98456
15,African American Female,2000,98354
20,African American Female,2000,98141
25,African American Female,2000,97785
30,African American Female,2000,97314
35,African American Female,2000,96632
40,African American Female,2000,95588
45,African American Female,2000,93979
50,African American Female,2000,91680
55,African American Female,2000,88517
60,African American Female,2000,84044
65,African American Female,2000,77941
70,African American Female,2000,69778
75,African American Female,2000,59361
80,African American Female,2000,46453
85,African American Female,2000,32053
90,African American Female,2000,18347
95,African American Female,2000,7989
100,African American Female,2000,2351
0,All,1990,100000
1,All,1990,99064
5,All,1990,98877
10,All,1990,98766
15,All,1990,98635
20,All,1990,98215
25,All,1990,97671
30,All,1990,97070
35,All,1990,96322
40,All,1990,95373
45,All,1990,94154
50,All,1990,92370
55,All,1990,89658
60,All,1990,85537
65,All,1990,79519
70,All,1990,71357
75,All,1990,60449
80,All,1990,47084
85,All,1990,31770
90,All,1990,17046
95,All,1990,6282
100,All,1990,1424
0,All Male,1990,100000
1,All Male,1990,98961
5,All Male,1990,98754
10,All Male,1990,98627
15,All Male,1990,98464
20,All Male,1990,97854
25,All Male,1990,97049
30,All Male,1990,96166
35,All Male,1990,95091
40,All Male,1990,93761
45,All Male,1990,92139
50,All Male,1990,89865
55,All Male,1990,86492
60,All Male,1990,81378
65,All Male,1990,73971
70,All Male,1990,64107
75,All Male,1990,51385
80,All Male,1990,36749
85,All Male,1990,21815
90,All Male,1990,9878
95,All Male,1990,2927
100,All Male,1990,529
0,All Female,1990,100000
1,All Female,1990,99172
5,All Female,1990,99006
10,All Female,1990,98911
15,All Female,1990,98814
20,All Female,1990,98597
25,All Female,1990,98325
30,All Female,1990,98013
35,All Female,1990,97596
40,All Female,1990,97033
45,All Female,1990,96222
50,All Female,1990,94932
55,All Female,1990,92881
60,All Female,1990,89742
65,All Female,1990,85075
70,All Female,1990,78522
75,All Female,1990,69287
80,All Female,1990,56986
85,All Female,1990,41115
90,All Female,1990,23666
95,All Female,1990,9346
100,All Female,1990,2251
0,White All,1990,100000
1,White All,1990,99233
5,White All,1990,99068
10,White All,1990,98966
15,White All,1990,98843
20,White All,1990,98455
25,White All,1990,97972
30,White All,1990,97451
35,White All,1990,96810
40,White All,1990,96000
45,White All,1990,94932
50,White All,1990,93326
55,White All,1990,90833
60,White All,1990,86943
65,White All,1990,81123
70,White All,1990,73106
75,White All,1990,62175
80,White All,1990,48583
85,White All,1990,32850
90,White All,1990,17571
95,White All,1990,6416
100,White All,1990,1423
0,White Male,1990,100000
1,White Male,1990,99138
5,White Male,1990,98956
10,White Male,1990,98839
15,White Male,1990,98686
20,White Male,1990,98134
25,White Male,1990,97430
30,White Male,1990,96662
35,White Male,1990,95731
40,White Male,1990,94588
45,White Male,1990,93167
50,White Male,1990,91124
55,White Male,1990,88022
60,White Male,1990,83182
65,White Male,1990,75962
70,White Male,1990,66181
75,White Male,1990,53308
80,White Male,1990,38245
85,White Male,1990,22720
90,White Male,1990,10214
95,White Male,1990,2988
100,White Male,1990,523
0,White Female,1990,100000
1,White Female,1990,99333
5,White Female,1990,99187
10,White Female,1990,99099
15,White Female,1990,99007
20,White Female,1990,98795
25,White Female,1990,98547
30,White Female,1990,98283
35,White Female,1990,97939
40,White Female,1990,97472
45,White Female,1990,96768
50,White Female,1990,95608
55,White Female,1990,93730
60,White Female,1990,90789
65,White Female,1990,86339
70,White Female,1990,79984
75,White Female,1990,70834
80,White Female,1990,58454
85,White Female,1990,42274
90,White Female,1990,24270
95,White Female,1990,9495
100,White Female,1990,2239
0,African American All,1990,100000
1,African American All,1990,98187
5,African American All,1990,97884
10,African American All,1990,97720
15,African American All,1990,97539
20,African American All,1990,96925
25,African American All,1990,95972
30,African American All,1990,94809
35,African American All,1990,93260
40,African American All,1990,91239
45,African American All,1990,88689
50,African American All,1990,85285
55,African American All,1990,80635
60,African American All,1990,74335
65,African American All,1990,66154
70,African American All,1990,56192
75,African American All,1990,44872
80,African American All,1990,33149
85,African American All,1990,21352
90,African American All,1990,11646
95,African American All,1990,4729
100,African American All,1990,1376
0,African American Male,1990,100000
1,African American Male,1990,98023
5,African American Male,1990,97688
10,African American Male,1990,97501
15,African American Male,1990,97268
20,African American Male,1990,96301
25,African American Male,1990,94809
30,African American Male,1990,93070
35,African American Male,1990,90827
40,African American Male,1990,87948
45,African American Male,1990,84467
50,African American Male,1990,79984
55,African American Male,1990,74095
60,African American Male,1990,66334
65,African American Male,1990,56795
70,African American Male,1990,45690
75,African American Male,1990,33755
80,African American Male,1990,22549
85,African American Male,1990,12709
90,African American Male,1990,5972
95,African American Male,1990,1971
100,African American Male,1990,466
0,African American Female,1990,100000
1,African American Female,1990,98356
5,African American Female,1990,98087
10,African American Female,1990,97946
15,African American Female,1990,97818
20,African American Female,1990,97566
25,African American Female,1990,97140
30,African American Female,1990,96514
35,African American Female,1990,95599
40,African American Female,1990,94364
45,African American Female,1990,92676
50,African American Female,1990,90277
55,African American Female,1990,86793
60,African American Female,1990,81886
65,African American Female,1990,75031
70,African American Female,1990,66278
75,African American Female,1990,55684
80,African American Female,1990,43622
85,African American Female,1990,30089
90,African American Female,1990,17536
95,African American Female,1990,7687
100,African American Female,1990,2364
0,All,1980,100000
1,All,1980,98740
5,All,1980,98495
10,All,1980,98347
15,All,1980,98196
20,All,1980,97741
25,All,1980,97110
30,All,1980,96477
35,All,1980,95808
40,All,1980,94926
45,All,1980,93599
50,All,1980,91526
55,All,1980,88348
60,All,1980,83726
65,All,1980,77107
70,All,1980,68248
75,All,1980,56799
80,All,1980,43180
85,All,1980,27960
90,All,1980,14154
95,All,1980,5043
100,All,1980,1150
0,All Male,1980,100000
1,All Male,1980,98607
5,All Male,1980,98333
10,All Male,1980,98160
15,All Male,1980,97972
20,All Male,1980,97316
25,All Male,1980,96361
30,All Male,1980,95430
35,All Male,1980,94501
40,All Male,1980,93345
45,All Male,1980,91649
50,All Male,1980,89007
55,All Male,1980,84936
60,All Male,1980,79012
65,All Male,1980,70646
70,All Male,1980,59681
75,All Male,1980,46272
80,All Male,1980,31810
85,All Male,1980,18020
90,All Male,1980,7732
95,All Male,1980,2279
100,All Male,1980,423
0,All Female,1980,100000
1,All Female,1980,98880
5,All Female,1980,98666
10,All Female,1980,98544
15,All Female,1980,98432
20,All Female,1980,98184
25,All Female,1980,97883
30,All Female,1980,97551
35,All Female,1980,97140
40,All Female,1980,96531
45,All Female,1980,95570
50,All Female,1980,94060
55,All Female,1980,91760
60,All Female,1980,88414
65,All Female,1980,83520
70,All Female,1980,76720
75,All Female,1980,67186
80,All Female,1980,54372
85,All Female,1980,37772
90,All Female,1980,20578
95,All Female,1980,7862
100,All Female,1980,1927
0,White All,1980,100000
1,White All,1980,98898
5,White All,1980,98675
10,White All,1980,98536
15,White All,1980,98391
20,White All,1980,97939
25,White All,1980,97340
30,White All,1980,96774
35,White All,1980,96192
40,White All,1980,95427
45,White All,1980,94257
50,White All,1980,92384
55,White All,1980,89427
60,White All,1980,85031
65,White All,1980,78585
70,White All,1980,69801
75,White All,1980,58299
80,White All,1980,44409
85,White All,1980,28768
90,White All,1980,14471
95,White All,1980,5067
100,White All,1980,1105
0,White Male,1980,100000
1,White Male,1980,98769
5,White Male,1980,98519
10,White Male,1980,98357
15,White Male,1980,98176
20,White Male,1980,97525
25,White Male,1980,96616
30,White Male,1980,95783
35,White Male,1980,94980
40,White Male,1980,93984
45,White Male,1980,92494
50,White Male,1980,90105
55,White Male,1980,86303
60,White Male,1980,80625
65,White Male,1980,72393
70,White Male,1980,61384
75,White Male,1980,47712
80,White Male,1980,32788
85,White Male,1980,18538
90,White Male,1980,7891
95,White Male,1980,2279
100,White Male,1980,404
0,White Female,1980,100000
1,White Female,1980,99035
5,White Female,1980,98841
10,White Female,1980,98725
15,White Female,1980,98618
20,White Female,1980,98374
25,White Female,1980,98093
30,White Female,1980,97802
35,White Female,1980,97445
40,White Female,1980,96913
45,White Female,1980,96065
50,White Female,1980,94710
55,White Female,1980,92594
60,White Female,1980,89451
65,White Female,1980,84764
70,White Female,1980,78139
75,White Female,1980,68712
80,White Female,1980,55770
85,White Female,1980,38774
90,White Female,1980,20996
95,White Female,1980,7900
100,White Female,1980,1858
0,African American All,1980,100000
1,African American All,1980,97885
5,African American All,1980,97522
10,African American All,1980,97322
15,African American All,1980,97134
20,African American All,1980,96652
25,African American All,1980,95804
30,African American All,1980,94680
35,African American All,1980,93288
40,African American All,1980,91439
45,African American All,1980,88834
50,African American All,1980,85044
55,African American All,1980,79816
